Acid Armor	とける
Acid Spray	アシッドボム
Acrobatics	アクロバット
Aerial Ace	つばめがえし
After You	おさきにどうぞ
Air Cutter	エアカッター
Alluring Voice	みわくのボイス
Ally Switch	サイドチェンジ
Amnesia	ドわすれ
Apple Acid	りんごさん
Aqua Cutter	アクアカッター
Armor Cannon	アーマーキャノン
Aura Sphere	はどうだん
Avalanche	ゆきなだれ
Baby-Doll Eyes	つぶらなひとみ
Baneful Bunker	トーチカ
Barb Barrage	どくばりセンボン
Baton Pass	バトンタッチ
Bite	かみつく
Blaze Kick	ブレイズキック
Body Press	ボディプレス
Body Slam	のしかかり
Boomburst	ばくおんぱ
Breaking Swipe	ワイドブレイカー
Brutal Swing	ぶんまわす
Bug Bite	むしくい
Bullet Punch	バレットパンチ
Burn Up	もえつきる
Burning Jealousy	しっとのほのお
Ceaseless Edge	ひけん・ちえなみ
Charm	あまえる
Chilling Water	ひやみず
Chilly Reception	さむいギャグ
Coaching	コーチング
Coil	とぐろをまく
Comeuppance	ほうふく
Cosmic Power	コスモパワー
Cotton Guard	コットンガード
Counter	カウンター
Covet	ほしがる
Cross Chop	クロスチョップ
Crunch	かみくだく
Curse	のろい
Darkest Lariat	ＤＤラリアット
Destiny Bond	みちづれ
Detect	みきり
Dire Claw	フェイタルクロー
Double Team	かげぶんしん
Double-Edge	すてみタックル
Dragon Cheer	ドラゴンエール
Dragon Rush	ドラゴンダイブ
Draining Kiss	ドレインキッス
Dual Wingbeat	ダブルウイング
Eerie Impulse	かいでんぱ
Electroweb	エレキネット
Endeavor	がむしゃら
Endure	こらえる
Eruption	ふんか
Expanding Force	ワイドフォース
Explosion	だいばくはつ
Extrasensory	じんつうりき
Extreme Speed	しんそく
Fake Out	ねこだまし
Fake Tears	うそなき
Feint	フェイント
Fickle Beam	きまぐレーザー
Fiery Dance	ほのおのまい
Final Gambit	いのちがけ
Fire Fang	ほのおのキバ
Fire Punch	ほのおのパンチ
Fire Spin	ほのおのうず
First Impression	であいがしら
Fissure	じわれ
Flail	じたばた
Flip Turn	クイックターン
Flower Trick	トリックフラワー
Follow Me	このゆびとまれ
Freeze-Dry	フリーズドライ
Frost Breath	こおりのいぶき
Giga Impact	ギガインパクト
Glare	へびにらみ
Grass Knot	くさむすび
Grassy Glide	グラススライダー
Grav Apple	Ｇのちから
Gunk Shot	ダストシュート
Gyro Ball	ジャイロボール
Hammer Arm	アームハンマー
Head Smash	もろはのずつき
Headlong Rush	ぶちかまし
Heal Pulse	いやしのはどう
Healing Wish	いやしのねがい
Heat Crash	ヒートスタンプ
Helping Hand	てだすけ
High Horsepower	１０まんばりき
High Jump Kick	とびひざげり
Horn Drill	つのドリル
Howl	とおぼえ
Hydro Cannon	ハイドロカノン
Hyper Beam	はかいこうせん
Hyper Voice	ハイパーボイス
Hypnosis	さいみんじゅつ
Ice Fang	こおりのキバ
Ice Punch	れいとうパンチ
Ice Spinner	アイススピナー
Icy Wind	こごえるかぜ
Imprison	ふういん
Infestation	まとわりつく
Iron Defense	てっぺき
Iron Tail	アイアンテール
King's Shield	キングシールド
Last Resort	とっておき
Lava Plume	ふんえん
Leech Life	きゅうけつ
Life Dew	いのちのしずく
Light of Ruin	はめつのひかり
Low Kick	けたぐり
Lunge	とびかかる
Mach Punch	マッハパンチ
Memento	おきみやげ
Metal Burst	メタルバースト
Meteor Assault	スターアサルト
Minimize	ちいさくなる
Mirror Coat	ミラーコート
Misty Explosion	ミストバースト
Misty Terrain	ミストフィールド
Moonlight	つきのひかり
Morning Sun	あさのひざし
Mountain Gale	ひょうざんおろし
Mud Shot	マッドショット
Muddy Water	だくりゅう
Mystical Fire	マジカルフレイム
Night Slash	つじぎり
Nuzzle	ほっぺすりすり
Octolock	たこがため
Overdrive	オーバードライブ
Pain Split	いたみわけ
Parting Shot	すてゼリフ
Payback	しっぺがえし
Perish Song	ほろびのうた
Phantom Force	ゴーストダイブ
Poison Jab	どくづき
Pollen Puff	かふんだんご
Poltergeist	ポルターガイスト
Power Whip	パワーウィップ
Psych Up	じこあんじ
Psychic Fangs	サイコファング
Psychic Noise	サイコノイズ
Psychic Terrain	サイコフィールド
Psycho Cut	サイコカッター
Psyshield Bash	バリアーラッシュ
Quick Attack	でんこうせっか
Quick Guard	ファストガード
Quiver Dance	ちょうのまい
Raging Bull	レイジングブル
Razor Shell	シェルブレード
Recycle	リサイクル
Rest	ねむる
Reversal	きしかいせい
Rising Voltage	ライジングボルト
Roar	ほえる
Rock Blast	ロックブラスト
Rock Wrecker	がんせきほう
Role Play	なりきり
Sacred Sword	せいなるつるぎ
Salt Cure	しおづけ
Scorching Sands	ねっさのだいち
Screech	いやなおと
Seed Bomb	タネばくだん
Self-Destruct	じばく
Shadow Sneak	かげうち
Shed Tail	しっぽきり
Shell Smash	からをやぶる
Shelter	たてこもる
Skill Swap	スキルスワップ
Slack Off	なまける
Slash	きりさく
Sludge Bomb	ヘドロばくだん
Sludge Wave	ヘドロウェーブ
Snarl	バークアウト
Soak	みずびたし
Sparkling Aria	うたかたのアリア
Speed Swap	スピードスワップ
Spicy Extract	ハバネロエキス
Spirit Shackle	かげぬい
Steel Beam	てっていこうせん
Steel Roller	アイアンローラー
Stockpile	たくわえる
Stomping Tantrum	じだんだ
Stone Axe	がんせきアックス
Stored Power	アシストパワー
Storm Throw	やまあらし
Strength Sap	ちからをすいとる
Struggle Bug	むしのていこう
Stuff Cheeks	ほおばる
Super Fang	いかりのまえば
Supercell Slam	サンダーダイブ
Superpower	ばかぢから
Swallow	のみこむ
Switcheroo	すりかえ
Temper Flare	やけっぱち
Terrain Pulse	だいちのはどう
Throat Chop	じごくづき
Topsy-Turvy	ひっくりかえす
Trailblaze	くさわけ
Transform	へんしん
Triple Axel	トリプルアクセル
Upper Hand	はやてがえし
Vacuum Wave	しんくうは
Volt Tackle	ボルテッカー
Water Pulse	みずのはどう
Water Spout	しおふき
Wave Crash	ウェーブタックル
Whirlpool	うずしお
Whirlwind	ふきとばし
Wide Guard	ワイドガード
Wood Hammer	ウッドハンマー
Zen Headbutt	しねんのずつき
